smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
COC(C)(C)[C@H]1CC[C@H](N)CC1,-1.42104168454025,1.0819787508163037,0.0067750269325804,1,2,12,171.28399999999993,True,False,False,2,PM7,239,624779,0.08001952663385982,0.10392176163296139,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
O=C[C@]1(CCO)C[C@H]2CC[C@H]1C2,-1.397854029960664,1.1776394497642158,-0.053168295856563,1,2,12,168.23599999999996,True,False,False,2,PM7,239,624779,0.08214058062345447,0.07550702263367731,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
O=C[C@@]1(CCO)C[C@H]2CC[C@H]1C2,-1.397854029960664,1.1776394497642158,-0.053168295856563,1,2,12,168.23599999999996,True,False,False,2,PM7,239,624779,0.08214058062345447,0.07550702263367731,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
NS(=O)(=O)CCC[C@H]1CO1,-1.458546736291207,1.1378557131680094,-0.04764831899875,1,3,10,165.214,True,False,False,4,PM7,239,624779,0.08804834775641254,0.09704943183542343,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
NS(=O)(=O)CCC[C@@H]1CO1,-1.458546736291207,1.1378557131680094,-0.04764831899875,1,3,10,165.214,True,False,False,4,PM7,239,624779,0.08804834775641254,0.09704943183542343,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C#CCNN=C1CCOC2(CCC2)C1,-1.3371484869399752,1.1617746093187378,-0.1199680164931502,1,3,14,192.26199999999994,True,False,False,3,PM7,239,624779,0.09780143222226602,0.07251937367440096,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC1(C)CCC[C@](N)(CO)C1,-1.3324446945638215,1.1306532423897615,-0.1649340510614522,2,2,11,157.257,True,False,False,2,PM7,239,624779,0.1195872511122572,0.09593727549211878,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC1(C)CCC[C@@](N)(CO)C1,-1.3324446945638215,1.1306532423897615,-0.1649340510614522,2,2,11,157.257,True,False,False,2,PM7,239,624779,0.1195872511122572,0.09593727549211878,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC1(CNN)CCCC1,-1.2896286043318337,1.1735567325163616,-0.0449353969633628,2,2,9,128.219,True,False,False,2,PM7,239,624779,0.12025089122144175,0.10683916090806034,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CO[C@]1(CN)CC[C@H](C)C1,-1.2895142162078503,1.1688704666825982,-0.0059598062295489,1,2,10,143.22999999999996,True,False,False,2,PM7,239,624779,0.128687502329404,0.12260925308797026,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
