original_index,smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,cluster_id,calculation_type,is_cluster_center,distance_to_centroid,dft_representative,distance_to_dft,centroid_latent_1,centroid_latent_2,centroid_latent_3
1034668,C[C@@H](CCCCO)NC[C@@H](C)C1CC1,-1.997007526861177,-3.4796216491794327,-5.448873879285193,2,2,14,199.33799999999997,True,False,False,2,166,DFT,True,0.07430152940364351,520869,0.0,-2.0071403881521555,-3.522196967441543,-5.388829023813152
242812,C=CC(=O)N(CCC)[C@@H](C)C(=O)O,-0.7768635762922153,-4.415039981491173,2.64467774411495,1,2,13,185.22299999999998,True,False,False,4,167,DFT,True,0.013079028540277201,61454,0.0,-0.765156980115173,-4.411268097634854,2.6491262815914114
1290888,CCCC[C@@H](C)[C@@H](C)NCCCC#N,-0.7875357701630759,-5.914873276387474,-7.070921615667317,1,2,14,196.33799999999994,True,False,False,2,168,DFT,True,0.15485923762386863,242382,0.0,-0.8035098386900957,-6.050527001662947,-7.143889275839659
3169,CC1(C)C(=O)NC(=O)N1CC(N)=O,0.172546511646896,0.2557862055654487,4.359269661715952,2,3,13,185.18299999999996,True,False,False,6,169,DFT,True,0.09718114732556499,189915,0.0,0.1451857667793668,0.34817048281778196,4.371946820402785
696022,Cc1ccc(COC(=O)CO)cc1C,4.263740577312174,-0.5590013873517475,1.891124404118647,1,3,14,194.23,True,False,False,3,170,DFT,True,0.06835057343316273,656846,0.0,4.295123304685867,-0.5223416775384817,1.8427199519717856
7743,NS(=O)(=O)NCCO,0.0439971531428956,-1.053229235287741,0.1117837956215289,3,3,8,140.16400000000002,True,False,False,5,171,DFT,True,0.04640503077283726,737503,0.0,0.05790825294394891,-1.0114733376604093,0.12649274516556144
220848,NC1=NCCSC1,1.3760660712052597,1.5615687399248417,-0.1069488778563885,1,3,7,116.18900000000001,True,False,False,2,172,DFT,True,0.06929942368510296,722783,0.0,1.347927191350924,1.6230476488511025,-0.12214615790471288
914792,C=CCONC(=O)[C@@H]1C[C@H]2CC[C@H]1C2,-3.1256935394202414,-0.2946969357228838,3.8255560183629314,1,2,14,195.26199999999994,True,False,False,3,173,DFT,True,0.07839346506506896,88090,0.0,-3.193175469186431,-0.2610150185468145,3.8041725440127787
367888,CC[C@@H]1OCC[C@H]1NCCC(N)=O,-2.979593031019214,0.2342997102242098,1.3908882675133438,2,3,13,186.25499999999997,True,False,False,4,174,DFT,True,0.04172131932274938,346458,0.0,-2.9858369887586806,0.25492980677606547,1.3551659972321917
200873,CCCCS(=O)(=O)N(C)CCN,-0.2537953877517043,-2.942529366521313,-1.519284938996258,1,3,12,194.29999999999995,True,False,False,4,175,DFT,True,0.05267506187625165,241728,0.0,-0.23327031715658575,-2.92060966967417,-1.56256207511756
550926,COc1cccc2c1CNCCCO2,2.921130162071536,3.2995506328579043,0.6129646621190707,1,3,14,193.24599999999995,True,False,False,3,176,DFT,True,0.048881820958754034,505123,0.0,2.9216583196419816,3.3423057212280853,0.6366533912593703
377491,Cc1ccc2c(C(N)=O)cnn2c1,4.7977265570389696,1.417532756597527,1.912428802637602,1,3,13,175.19100000000003,True,False,False,4,177,DFT,True,0.05067904783770579,660086,0.0,4.7501178211549036,1.4318389166553736,1.9025744664520947
577856,c1coc(CNC[C@@H]2CCCO2)c1,-0.8515647893569247,3.69672727881007,-1.8967725708189933,1,3,13,181.23499999999999,True,False,False,3,178,DFT,True,0.014940750260640637,819732,0.0,-0.8417898202060011,3.7049363959108064,-1.9045370020844319
237596,CN(C)CCNC1CCC1,-2.6157545679343546,0.469763176788594,-1.6846150335355818,1,2,10,142.24599999999998,True,False,False,2,179,DFT,True,0.10276990792509384,398072,0.0,-2.711085252043501,0.48817829171018823,-1.650931236471728
514040,CC[C@@H](C#N)C(=O)NC1(CO)CCC1,-1.435908768993035,-2.380122538066021,-0.4804351332296375,2,3,14,196.24999999999994,True,False,False,4,180,DFT,True,0.06734943542113599,317910,0.0,-1.4681027043394366,-2.321139713260008,-0.47590486211626654
852529,CCNC(=O)CO[C@@H]1CCCC[C@@H]1C,-3.221516826012985,-0.4286256557054452,2.2242350341085224,1,2,14,199.29399999999993,True,False,False,3,181,DFT,True,0.06232921502966647,287262,0.0,-3.212967918160046,-0.3797112406517082,2.261907666359098
206315,Cc1cc(S(N)(=O)=O)ccn1,3.9329992703718624,1.1919285117499898,0.8583449750823854,1,3,11,172.20900000000003,True,False,False,4,182,DFT,True,0.05801118496635957,652461,0.0,3.941165162270381,1.2225340235355346,0.8097454026660794
1115490,CC(C)C[C@H](C)N1CC[C@@H]([C@@H](C)O)C1,-1.639999984781249,-1.0238146641495525,-3.3472858827789045,1,2,14,199.338,True,False,False,2,183,DFT,True,0.03057695498238232,159533,0.0,-1.6578020544762102,-0.9989628460587429,-3.347936750009364
846346,O=C1CCCC[C@@]12CCNC2,-1.141247739605282,3.276019895090814,1.144648908539791,1,2,11,153.225,True,False,False,2,184,DFT,True,0.05621808551715304,786604,0.0,-1.1611221809109857,3.328434297875067,1.148916238239988
800975,CC[C@H](O)CCCNC[C@@H]1C[C@@H]1C,-2.5257364432632485,-1.817936068060506,-4.351749117952737,2,2,13,185.311,True,False,False,2,185,DFT,True,0.07679714468137173,371939,0.0,-2.45361371131761,-1.8216670702844049,-4.377867934739
518899,CC(C)(C#N)NC(=O)Cn1cccn1,2.056283458610785,-0.7723905999982642,0.1636939601240572,1,4,14,192.222,True,False,False,5,186,DFT,True,0.041090329624433874,127988,0.0,2.038241089520655,-0.7368944484560745,0.17383848238752825
982737,C=CCCCC(=O)N1CC[C@@](C)(O)C1,-2.7388841912026205,-1.806159764118196,2.6255218171909145,1,2,14,197.27799999999996,True,False,False,3,187,DFT,True,0.06367799401340729,67682,0.0,-2.739559847390367,-1.8105904684167642,2.562001747372737
223830,CSC(=S)NCC(=O)O,-0.2525127833792944,-2.2156704264428395,3.4599248823842426,2,3,9,165.239,True,False,False,3,188,DFT,True,0.053916545675417954,509328,0.0,-0.25851767141119847,-2.1744124276472974,3.425738441319388
164404,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,-1.0493777849983184,-5.153122050137096,5.220764021513907,2,3,13,186.21099999999998,True,False,False,5,189,DFT,True,0.06706584112825607,93833,0.0,-1.0764614752852932,-5.105526340292024,5.182047756572368
