smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,is_cluster_center,distance_to_centroid,centroid_latent_1,centroid_latent_2,centroid_latent_3
CC(C)OCC(=O)N[C@@H]1CC[C@@H](C)C1,-3.366321646565782,-0.39396381347296,2.140872906357009,1,2,14,199.29399999999998,True,False,False,3,DFT,73,True,0.0714525788251342,-3.328077274060667,-0.3978456175584626,2.2011038833496976
C[C@@H](CO)NC(=O)c1cncnc1,3.723443912616784,-1.377601307901923,-0.0008115240653786,2,4,13,181.195,True,False,False,5,DFT,74,True,0.04984188631679962,3.7049155748433775,-1.333075432024747,-0.013395669183012507
NC(=S)NNc1nccs1,2.6606908538117184,0.7103506464773003,0.7019055409186027,3,4,10,174.25400000000002,True,False,False,4,DFT,75,True,0.035785586087634845,2.678693447002218,0.7042702760873095,0.6715815585618371
CC(C)[C@H](C)NC[C@@H](CO)CC1CC1,-1.9334262644820808,-2.528086241389241,-4.543055110253884,2,2,14,199.33799999999997,True,False,False,2,DFT,76,True,0.0430501029882755,-1.9619061853557178,-2.4960337976845617,-4.546908203412745
C=CCCN1CCC(NC(C)=O)CC1,-3.893162488004328,0.1080394751900953,1.1124415818042763,1,2,14,196.29399999999995,True,False,False,3,DFT,77,True,0.043822900157230886,-3.8776323571932005,0.11414311956601875,1.0719198945181803
CCCN(C)C/C=C(/C)C(=O)O,-0.4137736825952629,-3.452642746278459,0.8427889783381091,1,2,12,171.23999999999998,True,False,False,3,DFT,78,True,0.03574147595019477,-0.4169303545515077,-3.4579176128873277,0.8779978452258357
N#CCc1nc2ccc(O)cc2[nH]1,4.227521661007031,1.1567279096008032,-1.3123332668452188,2,3,13,173.175,True,False,False,4,DFT,79,True,0.04001885713482152,4.188603810423914,1.1477505350673742,-1.3098199863487328
CC1CC(Nc2ncncc2C#N)C1,1.904669743050861,2.6268429572068484,-1.6294728643592495,1,4,14,188.23399999999998,True,False,False,4,DFT,80,True,0.06891300924500555,1.973500763102062,2.629534835844101,-1.6274610712993929
C[C@@H]1C[C@H](NCc2cocn2)CO1,-0.8001442105757592,3.6034400904491286,-1.5754442577821774,1,4,13,182.22299999999998,True,False,False,4,DFT,81,True,0.04689988175575447,-0.7985190360718017,3.6499763205624527,-1.5698463114288095
O=C1CCC2(CCNC2=O)CC1,-0.1877111512177375,3.019799206431775,2.233157600665631,1,2,12,167.20799999999997,True,False,False,3,DFT,82,True,0.10250046634508628,-0.12775608421345064,3.0865705957035057,2.183626629383062
C1CCN2[C@H]3C[C@@H](CN3)N2C1,-2.701224877419813,5.003815298601695,-0.1117805566712331,1,3,11,153.22899999999996,True,False,False,3,DFT,83,True,0.04778097828192319,-2.727637271351207,4.982472312035002,-0.07816680566358077
CCOC(=O)C/C=C1\CCNC1,-0.3668080065309111,-0.4938823549454139,2.801045707214597,1,3,12,169.224,True,False,False,3,DFT,84,True,0.06291808196402188,-0.3239434257113719,-0.5264960866789122,2.8335673500330643
CCn1cncc1CNCCC1CC1,0.3611623510488582,1.2740710445250572,-2.9823399482852344,1,3,14,193.29399999999995,True,False,False,3,DFT,85,True,0.12173017696938075,0.4701295429940563,1.3281750514362405,-2.9864804193610586
Cc1nccnc1NC[C@@H](C)C#N,4.318642534804052,-0.4958264004150489,-3.1206315658965558,1,4,13,176.223,True,False,False,4,DFT,86,True,0.043734075559127165,4.309393193396841,-0.5337133748392766,-3.1008402491762816
C[C@H](CN)C(=O)NCCCN(C)C,-0.7950768402879261,-4.852883274487755,-0.3802360906959055,2,3,13,187.28699999999998,True,False,False,4,DFT,87,True,0.02897075951253107,-0.7698569012777372,-4.839217746995577,-0.38429970256415774
CC(=O)N[C@H](C)C(N)=O,-0.3568406116341551,-2.509389009297841,3.577836107353465,2,2,9,130.147,True,False,False,4,DFT,88,True,0.05130023044961955,-0.38650687123483757,-2.5092777331155762,3.6196883988450934
